,text
10,Да это же легендарный класс Пыхалдинов 💨 🗡️ Славные были воины! 💪 не забывали пить воду из колбы 🧪 да богу молиться 🛐🛐 чтоб кумар крепкий был 🤤 на даббл (2) аппле 🍏 🍎 смело защищали ⚔️ пыхерборею от гейперов 🚫🇺🇦
11,"Эх, а каким великим бы был Кумариум человечества, если бы не события ереси Вейпуса😢"
12,"Утомилась бедолага😺🛌
Поймут только крали😈👩🏻👍🏼 Вот бывает так: закончила рейс на фуре, доставила две тонны гороха с Астрахани до Воронежа) И легла у речки отдохнуть с калюмбасиком в камышах🌿🤙🏼😍И кайфуешь от души💆🏻‍♀️⛅️ Мужланов нет, все спокойно😇⛔️🙏 А если раки в трусы лезут – ты их дальнобойным шептуном отгоняешь🦞💥🤣 Эх, славная пора)

Да уж) Тут еще с ман*давошками надо внимательно, а то прыгнут куда не надо😏🔞 Братва, всем благ👊🏼"
13,"Дааа😆😆😆 это то что называется культурный досуг🥇🙆‍♂️🥳 
вот такие мероприятия📹🔞 должен субсидировать💵💶 минтуризма👽🤡"
14,Стоило ли ради двух тонн фуру гонять?
15,"Как-то 😉😉😉 В голубой лагуне 🌴🌴🌴
Альфач ✅✅✅ Забили на Мамуне 🔱🔱🔱
Краля рядом 🐹🐹🐹 обкурилась 🔊🔊🔊
И в русалку 🐊🐊🐊превратилась 🌚🌚🌚

А позвалаб своих братков 👨‍⚕👨‍💼👨‍🏫
Не случилосьб косяков 👀👀👀"
16,"Да уж😃

Вот это краля💃находчивая - ведь все знают, что перегретый альфакер двойное яблоко 🍏🍎на фольге в легко отпугивают всякую живность аля комары (moscito)

Во даёт😂 Валяется, ждёт своего горячего натуралиста😈, чтобы в кумаре запустить в свои райские врата (pussy) страстного могучего Джо🔞❤💋"
17,"Да уж (snake) 🐍 , братуляйтеры, тут у нас типичная ошибка(mistake) начинающего альфача. Берешь ты деваху подмыху, везешь на речушку, в надежде(любови) под жарким июльским солнцем ☀️ сверкнуть искрой ⚡️ голые телеса друг друга, да заняться делом житейским, а вместо этого, увидев твой здоровый мундштук, да забив императорский, она присасывается к калику, что за уши не оттянешь, а уже вечереет, и комары кругом… эх, было дело… Короче, кабаны, у следующий раз писю к носу прикиньте, и кайфы не мешайте, калик 💨 отдельно, краля 💁‍♀️отдельно."
18,"Чудо эпохи Возрождения🙀😨
Недавно археологи-копатели поразили мир🤯🙈👴🏻 Они нашли первое изобретение легендарного Леонардо Да Дымчи «Machina Kumarika»💨⚙️⚒️ Он создал ее, когда хотел курнуть с другами на троих☝🏼🤓💡 Ну и быстро сбацал из дерева, пары шурупов и пластилина) А уже после плотного покура, на кайфуле придумал Мона Лизу и вертолет🚁😎😈

Ну дает) Наш человек😂👍🏼 Руки из нужного места росли, тут точно подмечено💁🏻‍♂️🔥🔥"
19,"говорят у него было 3 брата (brothers) Донажмылло, Раскумараэль и Мундштуколанджелло😎
а учитель вообще крыса
(rat)🐁
по мотивам этих сказочных любителей двойного 🍎🍏 сняли целый мульфильм: ""Kalik Turtles"" 🐢 
представляете себе, братва???🤣💪"
20,"Да уж🤓

Леонардо Дай Дымчик ещё тем озорником (bad boy) был. Только так забивал двойное яблочко (two apple)🍏🍎 на перегреве, что ему в кумаре прилетали идеи для изобретений💭

Даже есть картина Джоконда ля Кумария от его авторства! Вы только посмотрите какая краля❤"
21,"Легендарнейший(default) мастер дымного искусства! Полна земля наша людей талантливых до дыма и углей,эх,мало кто знает,но Лёва Дымский(уроженец Кальмыкии на секундочку) всегда говорил «Я могу построить ДымоМортры или нарисовать на небесах угольки вместо солнца,но ничем не смогу передать я Кумар от двойного яблочка(double Apple  🍎 🍏) Ведь истина горизонта вселенной уходит тонкой струйкой дыма из мундштука в бесконечность…Великий был парень,жаль переехал в Италию,но и там его Калямбесина дает прос*раться всем вейперам(slaves😳)"
22,"Гадкий утенок🤧😭
Посмотрите на этот бедный кальянчик… Он родился карликом🥺🙈🤷‍♂️ За это его все дразнили и обзывали кльнчик👿👎🏼 И вот, он захотел утопиться😱🌊 Ну что, довольны? Довели⁉️🤬 Не волнуйся, кльнчик, сейчас мы тебя покурим, ты главное не прыгай… Ты еще вырастешь и станешь здоровым калюмбасищем, звездой всех лаунджей🙏😸💨💨

Жесть) Не надо обзывать кальяны, братва☝🏼😌 Лучше пососать дымок из мундштука и навалить как надо💪🏼😈🦁"
23,"Да уж😃

Это же Кальян Айтипедия😂 

До сих пор идут споры - или кальян (Hooka) сделали по Айтипедия🤓 или Айтипедия вырос под кальян🤣🤣🤣"
24,"Ну-ну, карлик🤣. Вполне себе стандартный (huge) размер. Запомните, братишки: главное не размер(size) мундштука, а качество дабл эпл(🍏🍎) 😎😤"
25,"Девчонки (pedovki), не издевайтесь вы над парнями с маленькими каликами, ведь главное не размер калыча, а умение им пользоваться))). Все плотной забивки дабл эпла (яблочко)
А вообще guys (not gays), это никакой не мини-калик, это полноценный кальян-казан, на настойщей воде из Байкала! А внутри казана - плов двойное яблочко)))"
26,"Легендарный карлик Калян🤘☠ Ланнистер из ""Игры Престолов 2📯📯: возвращение Мухтара🐅🐈"" - борется с Денисом Таргариком🖕👩‍🦳 за лаунджи 😈❤💨💨 Вестероса. Кому же достанется железный мундштук❓❓🏒?"
27,"Мал (small) золотник (spool) 🪨, да дорог (precious) 💰"
28,"Секреты древних летописей📜🌞
Внемлите, великие дыморусы) Поведаю вам о князе Кумарославе Пятом с половиной⚔️🤴🏽Храбрый и достойный был муж🧔🏻‍♀️🙏😭 Разбил орду ящеров-жижа*сосов под Байкальском, чтоб воду священную в колбы набирать🌊👊🏼😎 Основал славный град Накурск-на-Дону 🏰😨👍🏼 Сдружился с уральскими гномами-краснолюдами, а те в ответ лучший уголек с шахт давали в благодарность🧙🏻‍♂️☄️💨

Да уж) А ведь это не все его подвиги🙈☝🏼Великий человек🤯🔝 Нам надо на него равняться)"
29,Владимир Красно Яблочко🍎❤️💯 - по его приказу Накурил и Мефодий👬👨🏿‍🦳👨🏿‍🦳 даровали русам🇱🇺🇵🇾🇸🇮🇨🇿 берестяные грамоты📄📄 с постами «Калика)»🔥🥳
30,"Слава дыморусам!!
Вейпоящерям не сломить нас"
31,"Ого😎

Это же Дмитрий ХукаДонской (жесть крутой😈). Накуривается перегретым двойным яблоком🍏🍎, чтобы начать КуликовоКальянскую Битву💥 против хана Кальяна-Мамая (латентный вейпераст), который правил Золотой Колбой Ордой!

Да уж😃 Уже историками доказано, что кальян круче этих вейперов, целые сражения выигрывали😎😈🤘👊👍"
32,"Профессор Алексей Сергеевич БаДымов писал в своем труде «великие подвиги Кумара Русов против ящеров» так: Да не уронила рука доброго молодца мундштука золотого,да устремил он свой взор в небо ночное и диву дался! Светило ночное пускало колечки плотные! И сказал ему мудрец СвятоДым ОтФольгиевич: так то ж и является планета-Кальянтурн"
33,админ:
34,"Настоящие якудза😱🥷🏻
Это же легендарная японска банда🤯🇯🇵🏯 Мутят темные дела по всему Востоку😈 На фотографии бандит докладывает своему главарю:
-Босс, насвай погружен на корабли и ждет отправки в Сингапур, кокаиновые бешбармаки уже на пути в Монголию🙈☠️💊 Что-нибудь еще?)
-Отлично😎👍🏼 Мне бы краль под накурку) Позови г*ейш, тьфу ты то есть натуральш сюда🙏🤣

Жесть) Суровая братва, базара нет😼 Таких малодчиков мы уважаем)"
35,"Кадр из легендарного 🥴🥴🥴 фильма ""Славные Казахские Парни"" 🤤🤤🤤 ДыМартин Скорсезе снял легендарную картину 👀👀👀 отделавшись всего лишь 20 килограммами 🔔🔔 🔔Натуральной Египетской Нахлы 🗣🗣🗣 Слева легендарнейший, и известнейший Казахский 🇫🇲
🇫🇲🇫🇲 актёр: Леонардо Дым в Партию 🙋‍♂🙋‍♂🙋‍♂ И не менее известный актёр с флагом Франции 😡😡😡 Мэтпир Дыйммонд. После сложнейших сцен в баре 🤙🤙🤙 Можно и отправиться покайфовать 👥👥👥
Коллеги на работе - друзья по жизни ❤❤❤"
36,"男は😃

賢者にこう尋ねました😎
愛することと愛されること、どちらがより重要ですか?💭
賢者はこう答えました。🍏🍎
- 鳥にとって、左翼と右翼どちらがより重要ですか? 
その男はこう答えた。 
- 右。 
「まあ、このクソ航空機設計者、どうやって鳥が片方の右翼で飛べるの？"
37,"Пыхтамат Калашникова получается💨💨💨
Легендарное убойное оружие( Gun)🤯💥
‼️Для заряда использовать только двойное яблочко🍎🍏"
38,"Главное 👆🏽 чтоб не были 🚫 гейперами-анимешниками 💨 🏳️‍🌈 🤬 а то в этих ваших япониях 🇺🇦 насмотрятся 👀 лгбт 🇷🇺 мультиков и потом один (one) вейп по кругу 🔄 пускают, гордятся 😎 петушки типа непрямой 🐔 поцелуй 💋👨‍❤️‍💋‍👨. В кальянном деле 💪 же все как у мужчин 🦍 личный☝️ мундштук на каждого"
39,Потомки (descendants) 👦 великого ЧингисПыхана 👑
40,"Криминальные архивы📸👮🏽‍♂️
Еще один пыхарь в законе😎😈 Погоняло - Цибуля Дымный😱💪🏼😼 Тут классика: сначала точки на рынке держал, потом заправки) Когда поднялся, создал банду «Люберецкие мундштуки»💨💀 А потом киллер напалм Цибуле в колбу залил🙈🔥⛔️ Повезло, контузией отделался) Теперь не колечки, а квадратики выдувает😅⬜️ И еще жо*пой икать начал😰🤦🏻

Жесть) Век живи - век учись🤯 Говорят, сейчас он на покой ушел, пишет автобиографию «Я в кальяне или Кальян во мне»📖✍🏼 Талант)"
41,"Ахереть😃

Это же Вито Кальяно Скалето - герой игры Mafia 2😎 Там он приехал в Нью-Йорк и начал двигаться с ХукаМафией😈 Там ещё дружок у него был - Джо Барбаро по кличке Мундштук, он ещё со всякими кралями тусил👄 Ну а что - перегревал чашки с двойным яблочками🍏🍎только он умел!

Да уж😎 Сидит этот Вито, отмечает победу над Фальконе Вейперастом, пыхтит💭 Жаль, что он не знает, что дополнительные угли в сделку не входили👎"
42,"Я его знаю😎🤓, это же дон Витя Корлеонов ☝️🤙🤙из козаностры (ОПГ) имени Витали Пузо😳, был с ним на забиве 🤜🤛- двойное яблочко🍎🥝 забивает мама не горюй👩🏿‍💼😪😪, настоящий властелин колечек💍💍😤💨"
43,басотское сословие пыхарей
44,"Ну, сердце (heart) ❤️ аж само шансон выдает:

А в парках городских табачки открылись,
Фонтаны бьют, парит дымок оркестр,
Девчонки ждут кальянчика, любви,
А мы не дай нам ареста."
45,кальянный устав един
46,"Славная пора каникул☀️🥰👍🏼
Эх, классное было время) Приехал к бабушке, сел на мопед «Иж-7 Уголек», да как махнул по хутору🏡🏍️Едешь - то крапиву заденешь, то собака дуреха погонится, то гусей спугнешь🤣🐶Домой приехал: уставший, но какой счастливый🙏🥳🏡 А тебя уже бабушка встречает с угощением дымным) Говорит: «Давай слезай, дед забивулю сготовил, все наше, огородное👵🏿👴🏻🌾» И так сладко дуешь кальянчик деревенский) И как же в город обратно не хочется…

С*ука, не трави душу🥵😢 До слез… Ну ниче, скоро на дачку уже махнем) А там кайфов наловим😈👍🏼"
47,"Да, вот это и правда было время 🔊🔊🔊
Приедешь к бабушке 🧓🧓🧓в деревню Нижние Альфакеровки 🍏🍅 И оттуда сразу на речку 🎪🎪🎪 А вода - парное молоко 🚿🚿🚿 Прям в речку ставишь шахту из трубы 🔩🔩🔩 которую давеча у Михалыча забрали с огорода 🏞🏞🏞 (на время, конечно), и всей деревней начинаете накуриваться 🧟‍♂👨‍⚕👩‍⚕👨‍🎓👨‍🚒🤴🏃‍♂ И стар и млад, все подходили, и не болели более 50 лет 🤙🤙🤙
Вот что значит ДЕРЕВЕНСКАЯ природа 😊😊😊"
48,"Ого😎

Да это же новейшая разработка Пыхолово - Мотокалик-3000😍

Едет за счёт перегретого двойного (double) яблочка (apple)🍎🍏, плюс за собой такой кумар оставляет, что вейперасты на BMW сразу деру дают😃😉😆

Во дают😃 Обещают ещё внедорожник на танжике💪"
49,"Да, братка жиза✅✅✅ как к бабушке(grandma)👵🏿 заедешь, так потом выйти не можешь ❌🈲пока весь калик не скуришь(smoke)🚭🚭"
50,"Чудеса автопрома🚘🛠️
Даже не верится) Фотография из тайного советского архива😨📇 Испытание автомобиля, работающего на кальянном дымке💨🎛️🚗 Скорость этой машины измеряли в специальных волчьих силах🐺🚦Сам Генри Форд хотел заполучить эту технологию) А вот хрен тебе, буржуй🤣💪🏼😈 Жаль, что инженеров этой ласточки расстреляли из урановых пушек🙏😭

Жесть) Хотелось бы прокатиться😎 Говорят, там был установлен генератор сэ*кса и от краль отбоя не было😏🔞🙎🏻‍♀️"
51,"Да… Вот делали машины🚘 в свое время (time). У моего деда  (dead) была КАЗ-69 «Дымка» (Кумарский Авто Завод), мы постоянно с ним в гараже меняли угольки в двигателе (engine) и воду в колбе охлаждения 😏. А каждым летом дед ездил в деревню за двойным яблочком 🍎🍏… Эх, было время🥺… Не то что сейчас эти ваши вейперские (gay) Теслы🤮"
52,Тяга у такого аппарата была бархатная 🤗
53,"погодите, на фото же редкая версия с каликом нквд от кумарских мастеров"
54,"Вот это да😎

Это же кадры из съёмок Форсажа нового, где специально черно-белый фильтр сделали, аля ретро, воспоминания, где Доминик Альфакерретто вспоминал своего дедулю-затейника, где он перед гонкой любил пыхнуть перегретый Two Apple 🍏🍎, чтобы закумарить своих соперников-вейперастов на трассе (антихукка)

Да уж, как же дедуля пакостит😎 Всем бы такого здоровья, чтобы раскурить такой аппарат, чтобы даже внуки вспоминали🤙"
55,"Это ж новая разработка АвтоВАЗА ""Лада Пыхтеста""💨. Её особенность в кальянном двигателе💨, который работает от бархатного кумара двойного яблочка🍎🍏. Даа, вейперы (gay) о такой могут только мечтать, что тут уже о кралях (hoe) говорить😇"
56,"Стильный доходяга😈
Мужик не лыком шит) Открыл премиум-скин «Архангел» на свой калюмбасик🏆😱😎 Теперь ему обеспечена кайфуля до конца жизни и бесконечный запас пилоток😹🧔🏻‍♀️🧏🏻‍♀️ Если вы поняли, о чем я😏
Даже стих вспомнился:
Мой Калик-Хранитель👼🙏 я снова устал😔😔
Дай пыхнуть, прошу, дымком обними💨💨
Надуй меня крепче, чтоб я не упал🫱🏾‍🫲🏽🤦🏻‍♂️
И если откинусь, меня подними…"
57,"Ребят, а вы знаете как переводится Лос-Анджелес с английского на русский?

Архангельск!

Да хранит вас ангел-пыхитель!"
58,Апостол Дымитрий 😤 и его новая бэха цвета двойного яблочка🍏🍎
59,"Парни, вы издеваетесь? ❗
Я понимаю, что вам хочется просто расслабиться ✅ и наслаждаться (life) жизнью...но блин, вы не можете подарить своей крале 🍑 айфон. Я предлагаю готовую схему, как забивать топовые миксы 🌀 в калюмбас💨, и заряжать свою карму на миллионы ⚡
Оторвите попу от дивана и начните делать бизнес💯"
60,"Ахереть😎

Это же новый кальян от компании ДаблЭпл Пахпорейшн 🍏🍎 - ""Летучий кальянец"" и его премиум версия в золотом виде!!!

Да уж😅 Такой кальян может позволить только любитель BMW, ведь только на них ездят самые прокуренные хукамены (boys), которые как паровоз пыхтят свои перегретые на фольге двойные (two) яблоки (apple)🍎🍏

Побочные эффекты - отпугивает вейперастов на Феррари, хотя минусов нет (only positive)"
61,"Я тоже исповедую Кальянство 😇💭
Светлая и дымная религия 💨💨💨
Сразу вспомнилась молитва(molitva):
Да святяться угли твои,🎲🎲
Да прибудет тяга твоя яко в кальянной и на хатах💒🔞
Забивку насущную дашь нам дуть🤤💨
И остави нам бесплатные мундштуки,🎺
Яко же и мы оставляем чаевые кальянщику,💶💵
И не веди нас во искушение, но избави от горелого ⛔🤢"
62,"Забытая легенда☝🏼😨
Жесть, это же сам Джонни Дымный Гонзалес🤠💥Очень редкая фотография… Самый жесткий кальянщик Дикого Запада🌅💥🏜️Говорят, он мог намутить забивку из оружейного пороха и двух гвоздей от лошадиного копыта😈🔥 На разборках он пистонил колечки быстрее любого револьвера⛔️🔫 И каждая краля знала на вкус его пипку🔞😏🧏🏻‍♀️

Да уж, вот это жили богатыри) Жалко, что умерли🙏"
63,Red Apple Redemption 2 (двойной) 🍎🍏💨🤠
64,"Эх, сразу вспомнил фильм 🎬🎥 с легендарным Клинтом Пыхсвутом 🤠. Дядя в своё время любил раскумариться 💨💨 трубку изо рта вообще не вынимал😯😯😳, да-да, и уже живёт почти 100 лет 💪. Хейтеры густой и плотной накурки, есть ещё аргументы? 😑👊"
65,"Хера себе😱

Это же Кальяный Шляпник! Тот самый злодей из вселенной DC (Dymnye Calyan), один из противников Бетмена (Брюс Дабл Эплович🍏🍎)

Да уж😃 Не дремлет злодей, уже собрался накуривать своих жертв альфакером на перегреве, жесть😈"
66,"=Да-да, были времена=🧭
Пыхий запад, жесткое время.🤠
Когда были дуэли на калюмбасах🥵........"
67,"Мой друг, бывший кальянщик из Святого Дениса, известный в узких кругах как Артур «яблочный лумбаго» Морган, слёг от такой бадяги - забивка ебейшая была, отхаркивался кровью ещё очень долго, ну и окочурился от химозы этой. А вот в Страуберри норм пыхотельня есть - после налёта на банк решили раскумариться со своей бандой - всем понравилось"
68,"Доисторическое чудище😱🦖
Ай да пацан) Взял и поймал монстра из озера Лох-Несс🤯🐲💪🏼 Говорит, пока эту собаку тащил, спиннинг порвал🎣🙊 Ну зато теперь какой трофей есть) Из такого кумарнуть - святое дело🤙🏼💨 Только теперь это не Лох-, а Волк-несское чудовище😎👍🏼 А то из лоха кайфулю ловить вообще западло🤣

Да уж, не перевелись еще богатыри) Такого зверя выловить - подвиг🙏 Спасибо нашим мамам🥹👵🏻"
69,"Да это же один из братьев Змей-Горыныча - Змей-Дабл-Эплович собственной персоной🍏🍎

Этот товарищ вместо огня стреляет кумаром от двойного яблочка! Частый гость среди кальяных богатырей Алёши Дарксайдовича, Добрыни Нахловича и Ильи МастХэвича💨

Да уж, такие былины писать только под калумбасиком😅"
70,Лучшая группа в истории ВК
71,"Да уж, китайцы😆 (ching-pong) умели делать богоподобные😇😳 калюмбасики. Поговаривают, что древний китайский правитель (mr president) Кси Пых Сун с драконом курили (smok)😤👽 двойное яблоко 🍎🍏. В итоге Пыху так понравилась забивка, что он не хотел делиться с ней с дрэгонсом😨😰👺 и превратил его в калик (kavinsky)🎲"
72,"Вы только посмотрите😳-пригрел змею🐍 под крышей своей, а она на тебе! Весь кумарный дымочек💨 стянула. Ну ничего, пацаны знают как вопрос решать😎. Андрюха, ставь угли, я пока этой змеюке свой шланг по самую глотку забью😆😆)))
Нифа се, да эта змея еще и яблоки наши🍏🍎 съела, знает чертовка толк 👍😉
Да уж, зачетная зверюга попалась, курнули на славу, с такой глоткой и крали не нужны🤣 Всем густого дымка пацаны✊✊"
73,Лев🦁 ыня ПыхтиКич😤💪наконец-то добрался(walk) до ненавистного😡(angry) всеми змея вейпинича🐔🐍🐸и в дыму сражения(stealth)😶‍🌫️обкумарил👊змею 2 головы🐔🐸с помощью double 🍎 🍏 а трофей унес с собой🐍с тех пор на русси 🇷🇺(shaman) нет проблем
74,"Жестокое зрелище🙀☠️
Это ужас… Посмотрите, что натворили канадские ученые из Эстонии👩‍🔬🙅🏻🇨🇦 Они вскрыли кальянчик и показали это в научном журнале🙊📖🔪Люди давно хотели понять устройство кальджубаса💨😨 Желали узнать секреты кумара… Но какой ценой😭🤦🏻‍♂️

Да уж😖 Надеемся, это было не зря🙏 И мы сможем научиться лечить перепыхоз и острую нехватку дымоглобина😱🦠🤕"
75,"Я бы не против даже протестовать, но можно сначала ознакомиться с содержимым на моём родном русском 🇲🇫🇲🇫🇲🇫 потому что я не думаю, что в божественном аппарате будет содержаться КОПРО (SHIT) 💩💩🤢 Возможно, это просто вброс г*йперов 🤬🤬😡"
76,"Сенсация❗

Во все медицинские образовательные учреждения вводят новый предмет - кальянная анатомия!🗯 Вот как раз страница из нового учебника!

Да уж, жгут ребята😁 Будущие педиатры и хирурги будут на лекциях кумарить (hooka) двойное яблоко (two apple)🍏🍎, гляди, и наркоз больше не будет нужен! Пипку в рот - апендикс вон, как говорил профессор Преображенский в книге Булгакова ""Собачья кальянка"".

Надеюсь, что в дальнейшем стоматологи подсуетятся и сделают к бор-машине калик с яблочком двойным для лучшей анестезии💨"
77,"Ляяяя 😵‍💫😵‍💫😵‍💫 шо только нерадивые🫡 (bad) кальяноненавистники(hate) не делали😭. И колбы били👊, и шланги рвали🫰, даже уголь🧊 кидали 🧨на ковёр🧱. Но кальянное💨 дело жило, живёт (live🎇) и будет жить еежже👆🗿
Теперь ещё и располовинили!!🥝🥑🥥 Кошмар😩. Но посмотрите на этот упорный😌 кальянопых🪩 - продолжает работать🪬 исправно, даже не смотря на распил. (Mark 2🚕) 
Всем 👻 сладкого👙 понедельничного (monda y) кумара🎡, не обижайте кальяны, парни. 😌"
78,">Канадские учёные
>Из Эстонии
>Текст на португальском
Автор плотно пыхнул дабл эпла"
79,Не дадим 🖕 пыхдосам 🤢 русского калика (двойнояблочного 🍏🍎) пыхнуть! 😡
80,"Порадовал родню😺👍🏼
Опана) К парнишке на дачу приехала теща🤯☠️👵🏻 Ну и начала мозги компостировать, тут попадос конкретный🤦🏻🙈 Но пацан смекалистый оказался, смог обхитрить каргу☝🏼👱🏼‍♂️🧠Говорит: «Мамаша, ты подуй калюндопулы крепенькой😨🌬️, с забивкой огородной, а мне башку не е*би🤙🏼💨😈» Ну и все) Теща от мундштука отлипнуть не может😂 Красава)

Молодец😁 Все как в старой кумарской поговорке: «Хочешь тещу задобрить - дай кальяна покурить»🙏"
81,"Не зря в русском фольклоре 😈😈😈 столько пословиц посвящено тёще 👵👵👵
Тёще шланг в рот 😏😏😏
И нет забот 😄😄😄🤙🤙
Тёща с шлангом 🐍🐍🐍
А зятю легче 🕺🕺🕺
Семь раз подуй и угли поменяй 💭💭💭
Но про тёщу не забывай ⚠⚠⚠
Сколько тёщу не накуривай 💨💨💨
Все на шланг смотрит 🦉🦉🦉"
82,"Мужики (самцы) 🦍 , а ведь они ровесники  😅 … вы посмотрите как эту красотку сморщило от такой плотнейшей забивочки))) 💨 👍🤙🏼🤟🏻Всем кто хочет себе милфичку (Чери Девиль) (💋👄👅)совет: берете калик и добавляете простой советский…
Да не ссыте (peace) вы, пареньки, щас она живительного молочного улуна бахнет, и вновь красотка 😍 😹"
83,"То табак в забор просуну,
То мундштук ей покажу
🤙🤙🤙🤙🤙🤙🤙🤙🤙"
84,"Это же настоящая MILF🔞
Mommy I would Like to накурить аль Fakerom✊🏽😎👍🏽"
85,"Вот это тёща-бомба😈

Парнишка курил калик с двойным (two) яблоком (apple)🍏🍎, а тёща от такого кумара кайф словила💭, что решила показать своёму парнише, с чего началось зачатие его жёнушки🔞, а он думал, что ей калик понравился, ну ничего, молодой, потом поймёт😃😄😅😅😂"
86,"Настоящая история🙀
Шок😨 Недавно ученые нашли эту потрясающую гравюру😱🧑🏻‍🏫🖼️ Тут изображен легендарный князь Владимир Ясный Уголек, крестивший Русь💪🏼🤴🏽 Он прогоняет католиков-сатанистов🤬 и принимает у себя Кальянчик с Сижкой😃👑💨 Крещение Руси надо было как-то отметить😈👍🏼 Решили по кайфу праздновать, с дымком и кралями) Тогда славяне знатно накумарились, забивочка рекой текла🤙🏼😈

Да уж) Наконец-то мы узнали правду😊🙏Жаль, что в школах такого не рассказывают😔"
87,"Были вписки дымовые, да, говорят, еще какие 💨🔥😎"
88,"Ох 😩 , были времена ⏱️ кумарные😶‍🌫️…

А помните🧐 Княгиня🤠 Ольга👩🏼 уголька👨🏿 накинула👊 Древлянам 💂‍♂️и получилась 👀плотная 👊забивка🤒 народа Руси☠️…"
89,Недостоверно пишет паблик 🙄😱 Князя звали Владимир Красный Уголёк 🤙😈
90,"Капец вы историки, вы чо, вейпа перекурили?😳

Это же Иван IV Грозный со своей кралей приехал в недавно захваченную Казань в местную кальянную покурить местное легендарное двойное яблоко 🍏🍎. Настолько плотно забили ему, что аж краля потекла, а местные постоянники так вообще побежали дышать свежим воздухом, редко когда two apple забивают.

Поэтому и назвали Ивана ""Грозным"", что такие забивки кумарит на раз-два😎. Учите история, ребята📖📚📗"
91,комментарии прогреваются
92,"Удивительный шедевр🔥🤩
Это невероятно) Легендарный кальян НКВД от кизлярских мастеров😱🛠️🤯 Эти парни знают, как порадовать людей👍🏼 Показатели сумасшедшие: можно кумарить сразу две забивули‼️🙈 Если забить в него 2 двойных яблочка, то в теории - это целое четверное яблочко4️⃣🍏🍎 Такую бомбу будут курить космонавты👩🏻‍🚀🚀Они отрубятся и полетят 6 лет до Марса в анабиозе🙏💨😴

Да уж) Очень полезное изобретение😅 Наши пыхтельные ремесленники как всегда радуют👏🏻😈"
93,"Самцы 🦁, вы поглядите что сделал этот хитрый СуперКуМарио😧😧! Вот как была придумана легендарная игрулька)) 🤫🤫После такого дуплета (double shot), не то что драконы с принцессой 👩‍🦳в подземелье(underground), но и вообще оформишь полет в Нирвану (nevermind)😤😤. Что тут скажешь, хорошо что их два брата (brothers)🧔‍♂️🧔‍♂️. Ждем еврейский ответ на 7 стволов (minora)"
94,"А знаете почему из застенков НКВД никто не возвращался? 😳😳😳
Да потому что забивули там такие мощные 🔥🔥🔥, что не хочется уходить, а хочется только кумарить во славу Отечества 🤤🤤🤤
Пыхтриотизм поднимался только так 🇷🇺🇷🇺🇷🇺"
